Company Name,Company Address,Phone Number,Email Address
Nikkei Media,"9-13-18 Namba-dori, Namba, Osaka, Japan",+81-45-5150-1599,info@nikkeimedia.com
Sakura Capital,"6-9-4 Omotesando-dori, Umeda, Osaka, Japan",+81-92-8159-7553,info@sakuracapital.com
NTT Tourism,"8-23-16 Ginza-dori, Namba, Osaka, Japan",+81-92-9507-5369,info@ntttourism.co.jp
Hakuhodo Marketing,"10-27-6 Kokusai-dori, Minato-ku, Tokyo, Japan",+81-75-5813-6262,info@hakuhodomarketing.co.jp
Nihon Industries,"5-15-20 Namba-dori, Chuo-ku, Kobe, Japan",+81-82-3730-8272,info@nihonindustries.jp
NTT Media,"10-14-9 Higashiyama-dori, Aoba-ku, Sendai, Japan",+81-3-2229-7655,info@nttmedia.jp
Rakuten Beauty,"10-22-15 Aoyama-dori, Shinjuku-ku, Tokyo, Japan",+81-3-3068-2101,info@rakutenbeauty.co.jp
TBS Travel,"10-2-20 Motomachi-dori, Umeda, Osaka, Japan",+81-11-8371-7077,info@tbstravel.jp
NTT Productions,"9-12-13 Aoyama-dori, Hakata-ku, Fukuoka, Japan",+81-92-5566-5089,info@nttproductions.co.jp
Nippon Fashion,"7-30-18 Kaigan-dori, Nishi-ku, Yokohama, Japan",+81-6-5288-5264,info@nipponfashion.com
NTT Technologies,"8-7-4 Namba-dori, Chuo-ku, Fukuoka, Japan",+81-11-2213-8406,info@ntttechnologies.co.jp
Nikkei Sports,"6-22-12 Sumida-dori, Minato-ku, Tokyo, Japan",+81-6-9882-5757,info@nikkeisports.jp
Yomiuri Beauty,"3-26-12 Hibiya-dori, Naka-ku, Hiroshima, Japan",+81-75-4673-2988,info@yomiuribeauty.co.jp
NHK Contents,"1-12-18 Odori, Toshima-ku, Tokyo, Japan",+81-78-7044-8657,info@nhkcontents.com
Osaka Promotion,"5-13-16 Meiji-dori, Minato-ku, Tokyo, Japan",+81-75-7730-7708,info@osakapromotion.com
Nihon Contents,"2-15-15 Itchome-dori, Namba, Osaka, Japan",+81-75-6644-3102,info@nihoncontents.com
Pony Idol Agency,"7-17-2 Aoyama-dori, Shinagawa-ku, Tokyo, Japan",+81-6-9488-3507,info@ponyidolagency.jp
Fuji Beauty,"4-12-17 Hibiya-dori, Namba, Osaka, Japan",+81-52-2292-5105,info@fujibeauty.co.jp
Pony Animation,"5-20-18 Aoyama-dori, Koto-ku, Tokyo, Japan",+81-6-9234-3762,info@ponyanimation.com
Bandai Cosmetics,"10-24-20 Sumida-dori, Shinagawa-ku, Tokyo, Japan",+81-92-1674-1464,info@bandaicosmetics.co.jp
Japan Anime,"4-25-19 Itchome-dori, Koto-ku, Tokyo, Japan",+81-82-1496-9159,info@japananime.com
Nintendo Capital,"8-8-13 Namba-dori, Chuo-ku, Sapporo, Japan",+81-52-8430-2195,info@nintendocapital.com
Japan Beauty,"8-15-7 Kokusai-dori, Nakagyo-ku, Kyoto, Japan",+81-92-3353-6121,info@japanbeauty.com
Sharp Digital,"6-17-18 Aoyama-dori, Shinsaibashi, Osaka, Japan",+81-6-6228-4960,info@sharpdigital.jp
Tokyo Finance,"3-4-2 Yaesu-dori, Nakagyo-ku, Kyoto, Japan",+81-52-7293-7850,info@tokyofinance.co.jp
Yomiuri Beauty 26,"6-7-6 Heiwa-dori, Namba, Osaka, Japan",+81-45-9433-8648,info@yomiuribeauty26.jp
Nikkei Holdings,"2-13-17 Shinjuku-dori, Nishi-ku, Yokohama, Japan",+81-45-4944-4524,info@nikkeiholdings.com
Hitachi Broadcasting,"8-20-16 Namba-dori, Shibuya-ku, Tokyo, Japan",+81-52-9793-1133,info@hitachibroadcasting.co.jp
Fujitsu Contents,"6-25-13 Shin-dori, Koto-ku, Tokyo, Japan",+81-92-1741-7563,info@fujitsucontents.co.jp
Bandai Animation,"9-10-3 Higashiyama-dori, Bunkyo-ku, Tokyo, Japan",+81-82-9261-8378,info@bandaianimation.com
Sony Promotion,"2-5-4 Chuo-dori, Chuo-ku, Kobe, Japan",+81-82-7114-6555,info@sonypromotion.com
Hitachi Cosmetics,"9-13-17 Chuo-dori, Bunkyo-ku, Tokyo, Japan",+81-3-1742-1637,info@hitachicosmetics.co.jp
Dentsu Games,"8-5-20 Kaigan-dori, Nishi-ku, Yokohama, Japan",+81-75-3290-6373,info@dentsugames.com
Sharp Beauty,"5-19-11 Chuo-dori, Shinsaibashi, Osaka, Japan",+81-75-9351-9721,info@sharpbeauty.jp
Dentsu Anime,"1-12-11 Odori, Sumida-ku, Tokyo, Japan",+81-6-7824-6040,info@dentsuanime.com
Yomiuri Events,"8-9-19 Chuo-dori, Shinjuku-ku, Tokyo, Japan",+81-78-4728-1841,info@yomiurievents.com
Softbank Beauty,"10-25-13 Itchome-dori, Naka-ku, Yokohama, Japan",+81-11-4968-1517,info@softbankbeauty.com
Dentsu Agency,"8-11-14 Shinjuku-dori, Bunkyo-ku, Tokyo, Japan",+81-11-7765-4340,info@dentsuagency.jp
Rakuten Promotion,"1-23-5 Shin-dori, Nishi-ku, Yokohama, Japan",+81-75-4397-6325,info@rakutenpromotion.com
Softbank Wellness,"3-15-18 Sanjo-dori, Shinsaibashi, Osaka, Japan",+81-92-9950-6804,info@softbankwellness.com
TBS Beverages,"4-8-9 Odori, Chuo-ku, Fukuoka, Japan",+81-75-5890-4684,info@tbsbeverages.jp
TBS Capital,"8-11-16 Takeshita-dori, Naka-ku, Hiroshima, Japan",+81-92-5480-5715,info@tbscapital.co.jp
Bandai Culture,"6-25-5 Motomachi-dori, Shinsaibashi, Osaka, Japan",+81-52-1689-5712,info@bandaiculture.com
Nihon Digital,"5-24-16 Itchome-dori, Nakagyo-ku, Kyoto, Japan",+81-22-4310-9824,info@nihondigital.jp
Nintendo Finance,"10-24-19 Sotobori-dori, Chuo-ku, Tokyo, Japan",+81-22-4972-1831,info@nintendofinance.com
Nikkei Wellness,"4-2-4 Itchome-dori, Toshima-ku, Tokyo, Japan",+81-82-6411-8739,info@nikkeiwellness.co.jp
Victor Contents,"3-14-16 Kokkaido-dori, Shinjuku-ku, Tokyo, Japan",+81-45-4267-5706,info@victorcontents.jp
Panasonic Broadcasting,"10-8-18 Itchome-dori, Minato-ku, Tokyo, Japan",+81-3-3868-7846,info@panasonicbroadcasting.co.jp
Japan Publishing,"5-29-2 Ginza-dori, Nishi-ku, Yokohama, Japan",+81-3-5888-2758,info@japanpublishing.jp
Panasonic Distribution,"9-16-5 Kokkaido-dori, Chuo-ku, Sapporo, Japan",+81-75-8668-5470,info@panasonicdistribution.co.jp
NHK Agency,"8-21-9 Ginza-dori, Namba, Osaka, Japan",+81-11-1230-6523,info@nhkagency.jp
Bandai Electronics,"7-27-14 Chuo-dori, Shinagawa-ku, Tokyo, Japan",+81-75-6372-2421,info@bandaielectronics.jp
Victor Creative Works,"8-11-8 Aoyama-dori, Shinagawa-ku, Tokyo, Japan",+81-3-5272-7284,info@victorcreativeworks.co.jp
NTT Finance,"10-24-19 Namba-dori, Namba, Osaka, Japan",+81-3-5285-6890,info@nttfinance.com
Tsubaki Broadcasting,"8-10-6 Sotobori-dori, Chuo-ku, Kobe, Japan",+81-82-9233-6095,info@tsubakibroadcasting.com
Tokyo Events,"10-8-8 Higashiyama-dori, Sumida-ku, Tokyo, Japan",+81-11-8834-3509,info@tokyoevents.jp
Hakuhodo Management,"9-30-16 Kokusai-dori, Umeda, Osaka, Japan",+81-75-4578-5054,info@hakuhodomanagement.com
TBS Management,"8-17-12 Kaigan-dori, Minato-ku, Tokyo, Japan",+81-6-2838-2011,info@tbsmanagement.com
Nikkei Lifestyle,"9-5-6 Heiwa-dori, Bunkyo-ku, Tokyo, Japan",+81-92-9525-8239,info@nikkeilifestyle.co.jp
Victor Technologies,"8-3-17 Heiwa-dori, Naka-ku, Hiroshima, Japan",+81-45-1911-8429,info@victortechnologies.co.jp
