Company Name,Company Address,Phone Number,Email Address
Doosan Content,"141 Banpo-daero, Gangnam-gu, Seoul, South Korea",+82-44-242-2679,contact@doosancontent.com
Shinsegae Creative Studio,"17 Gwanghwamun-ro, Yuseong-gu, Daejeon, South Korea",+82-32-323-4811,contact@shinsegaecreativestudio.com
Kumho Media Group,"333 Itaewon-ro, Seo-gu, Gwangju, South Korea",+82-70-529-4611,contact@kumhomediagroup.kr
Hanjin Capital,"217 Apgujeong-ro, Gangnam-gu, Seoul, South Korea",+82-51-259-4527,contact@hanjincapital.kr
Joseon Creative Studio,"184 Eulji-ro, Jung-gu, Busan, South Korea",+82-54-718-5333,contact@joseoncreativestudio.co.kr
Shinsegae Logistics,"194 Eulji-ro, Seo-gu, Gwangju, South Korea",+82-70-400-6925,contact@shinsegaelogistics.com
Neo Records,"117 Namdaemun-ro, Mapo-gu, Seoul, South Korea",+82-52-181-4814,contact@neorecords.co.kr
Samsung Capital,"187 Ichon-ro, Yeonsu-gu, Incheon, South Korea",+82-54-463-4432,contact@samsungcapital.com
Star Records,"88 Ichon-ro, Paldal-gu, Suwon, South Korea",+82-44-267-8573,contact@starrecords.kr
Star Foods,"29 Seollung-ro, Jeju-si, Jeju, South Korea",+82-31-924-6168,contact@starfoods.kr
Star Records 11,"162 Seocho-daero, Songpa-gu, Seoul, South Korea",+82-63-505-8517,contact@starrecords11.co.kr
Star Cosmetics,"288 Banpo-daero, Yongsan-gu, Seoul, South Korea",+82-51-864-8019,contact@starcosmetics.com
Samsung Tourism,"261 Yeoksam-ro, Yongsan-gu, Seoul, South Korea",+82-32-873-1771,contact@samsungtourism.co.kr
Hallyu Fashion,"306 Gwanghwamun-ro, Jeju-si, Jeju, South Korea",+82-55-490-8668,contact@hallyufashion.com
Star Entertainment,"59 Banpo-daero, Jeju-si, Jeju, South Korea",+82-70-868-5371,contact@starentertainment.com
Lotte Content,"81 Gwanghwamun-ro, Seongbuk-gu, Seoul, South Korea",+82-2-5315-9201,contact@lottecontent.co.kr
Naver Agency,"328 Insadong-gil, Bundang-gu, Seongnam, South Korea",+82-43-256-7126,contact@naveragency.co.kr
CJ Culture,"166 Dosan-daero, Gangnam-gu, Seoul, South Korea",+82-2-2832-6947,contact@cjculture.kr
Global Productions,"41 Seocho-daero, Yongsan-gu, Seoul, South Korea",+82-63-935-2133,contact@globalproductions.com
KT Cosmetics,"244 Namdaemun-ro, Yeongdeungpo-gu, Seoul, South Korea",+82-42-371-9645,contact@ktcosmetics.com
LG Communications,"103 Banpo-daero, Seo-gu, Gwangju, South Korea",+82-52-508-7118,contact@lgcommunications.kr
Naver Distribution,"116 Sinchon-ro, Jung-gu, Seoul, South Korea",+82-53-121-4770,contact@naverdistribution.com
Global Entertainment,"324 Nonhyeon-ro, Jongno-gu, Seoul, South Korea",+82-44-169-1514,contact@globalentertainment.kr
Hanguk Wellness,"343 Hongdae-ro, Yongsan-gu, Seoul, South Korea",+82-43-652-3167,contact@hangukwellness.com
Hanjin Retail,"209 Yonsei-ro, Yongsan-gu, Seoul, South Korea",+82-33-199-8062,contact@hanjinretail.kr
LG Marketing,"28 Banpo-daero, Yeonsu-gu, Incheon, South Korea",+82-33-162-7596,contact@lgmarketing.com
Lotte Agency,"98 Itaewon-ro, Yongsan-gu, Seoul, South Korea",+82-62-243-7912,contact@lotteagency.co.kr
Star Logistics,"227 Sejongno, Yongsan-gu, Seoul, South Korea",+82-70-200-1828,contact@starlogistics.com
CJ Entertainment,"86 Sinchon-ro, Jongno-gu, Seoul, South Korea",+82-63-592-4502,contact@cjentertainment.kr
Korea Fashion,"200 Teheran-ro, Jung-gu, Busan, South Korea",+82-62-392-7930,contact@koreafashion.com
Shinsegae Lifestyle,"152 Itaewon-ro, Yeongdeungpo-gu, Seoul, South Korea",+82-31-693-9883,contact@shinsegaelifestyle.co.kr
Shinsegae Gaming,"300 Gangnam-daero, Mapo-gu, Seoul, South Korea",+82-64-973-9701,contact@shinsegaegaming.co.kr
Korea Wellness,"36 Apgujeong-ro, Jongno-gu, Seoul, South Korea",+82-32-791-4853,contact@koreawellness.kr
Joseon Beverages,"21 Dosan-daero, Yuseong-gu, Daejeon, South Korea",+82-32-529-9565,contact@joseonbeverages.kr
Star Communications,"161 Nonhyeon-ro, Jeju-si, Jeju, South Korea",+82-51-505-3144,contact@starcommunications.com
Doosan Industries,"38 Seollung-ro, Yeonsu-gu, Incheon, South Korea",+82-62-736-2638,contact@doosanindustries.co.kr
CJ Communications,"68 Hongdae-ro, Suseong-gu, Daegu, South Korea",+82-54-170-5002,contact@cjcommunications.kr
Daewoo Fashion,"155 Digital-ro, Yeonsu-gu, Incheon, South Korea",+82-64-108-5905,contact@daewoofashion.com
Joseon Cosmetics,"55 Eulji-ro, Gwangjin-gu, Seoul, South Korea",+82-70-259-5462,contact@joseoncosmetics.kr
Kumho Communications,"105 Seollung-ro, Nam-gu, Ulsan, South Korea",+82-51-617-9004,contact@kumhocommunications.kr
Korea Creative Studio,"142 Gwanghwamun-ro, Bundang-gu, Seongnam, South Korea",+82-2-6464-3143,contact@koreacreativestudio.com
Star Fashion,"283 Songpa-daero, Masanhappo-gu, Changwon, South Korea",+82-61-674-1158,contact@starfashion.co.kr
Hanguk Beauty,"190 Gangnam-daero, Seo-gu, Gwangju, South Korea",+82-70-251-8041,contact@hangukbeauty.co.kr
Korea Industries,"184 Gangnam-daero, Busanjin-gu, Busan, South Korea",+82-44-782-2684,contact@koreaindustries.kr
KT Marketing,"80 Banpo-daero, Paldal-gu, Suwon, South Korea",+82-44-985-3662,contact@ktmarketing.co.kr
LG Media Group,"171 Banpo-daero, Seocho-gu, Seoul, South Korea",+82-61-921-5065,contact@lgmediagroup.kr
K Agency,"241 Gangnam-daero, Jung-gu, Busan, South Korea",+82-43-936-8541,contact@kagency.kr
Daewoo Foods,"338 Teheran-ro, Yongsan-gu, Seoul, South Korea",+82-55-436-5564,contact@daewoofoods.co.kr
KT Capital,"261 Ichon-ro, Busanjin-gu, Busan, South Korea",+82-70-439-1452,contact@ktcapital.co.kr
Star Electronics,"20 Hongdae-ro, Yuseong-gu, Daejeon, South Korea",+82-61-453-6139,contact@starelectronics.kr
Kumho Wellness,"296 Jungang-daero, Jung-gu, Seoul, South Korea",+82-51-145-8144,contact@kumhowellness.co.kr
Naver Technologies,"36 Gwanghwamun-ro, Busanjin-gu, Busan, South Korea",+82-53-738-6143,contact@navertechnologies.com
Joseon Industries,"342 Insadong-gil, Suseong-gu, Daegu, South Korea",+82-53-512-5844,contact@joseonindustries.com
Hallyu Technologies,"195 Namdaemun-ro, Nam-gu, Incheon, South Korea",+82-42-730-5930,contact@hallyutechnologies.kr
CJ Entertainment 55,"108 Insadong-gil, Seongbuk-gu, Seoul, South Korea",+82-53-576-8238,contact@cjentertainment55.kr
Posco Communications,"87 Yonsei-ro, Suseong-gu, Daegu, South Korea",+82-32-390-9445,contact@poscocommunications.com
Doosan Digital,"345 Sinchon-ro, Jongno-gu, Seoul, South Korea",+82-44-925-4262,contact@doosandigital.co.kr
Seoul Broadcasting,"313 Yonsei-ro, Yongsan-gu, Seoul, South Korea",+82-32-566-7790,contact@seoulbroadcasting.com
Hanjin Technologies,"197 Nonhyeon-ro, Nam-gu, Ulsan, South Korea",+82-55-349-3417,contact@hanjintechnologies.com
Hanwha Entertainment,"113 Gwanghwamun-ro, Jung-gu, Seoul, South Korea",+82-64-575-1822,contact@hanwhaentertainment.com
Global Content,"238 Yeoksam-ro, Yeonsu-gu, Incheon, South Korea",+82-64-672-6198,contact@globalcontent.kr
Kumho Wellness 62,"229 Digital-ro, Nam-gu, Incheon, South Korea",+82-42-861-8777,contact@kumhowellness62.kr
