user_id,session_date,session_number,fitness_level,primary_goal,muscle_groups,exercises,num_exercises,prescribed_sets,prescribed_reps,duration_minutes,completion_rate,rpe,satisfaction,day_of_week,week_number
user_0000,2024-10-24,1,Beginner,muscle_gain,"back,shoulders,legs","Lat Pulldown,Face Pulls,Overhead Press,Arnold Press,Leg Press,Lunges",6,3,11,32,0.9,7,9,Thursday,1
user_0000,2024-10-27,2,Beginner,muscle_gain,"shoulders,legs,back","Arnold Press,Front Raise,Leg Press,Romanian Deadlift,Deadlift,Face Pulls",6,3,10,32,0.93,6,8,Sunday,1
user_0000,2024-10-30,3,Beginner,muscle_gain,"legs,chest,arms","Lunges,Leg Curl,Push-ups,Cable Fly,Hammer Curl,Skull Crushers",6,3,8,31,1.0,7,8,Wednesday,1
user_0000,2024-11-02,4,Beginner,muscle_gain,"legs,back,shoulders","Leg Curl,Lunges,Deadlift,Pull-ups",4,3,9,30,1.0,6,7,Saturday,2
user_0000,2024-11-05,5,Beginner,muscle_gain,"arms,legs,back","Dips,Hammer Curl,Lunges,Squat,Deadlift",5,3,8,22,0.64,7,7,Tuesday,2
user_0000,2024-11-08,6,Beginner,muscle_gain,"chest,arms,shoulders","Chest Dips,Dumbbell Press,Bicep Curl,Tricep Extension",4,3,12,22,0.71,8,9,Friday,2
user_0000,2024-11-11,7,Beginner,muscle_gain,"shoulders,arms,back","Shrugs,Front Raise,Skull Crushers,Bicep Curl,Face Pulls,Pull-ups",6,3,9,31,0.93,7,7,Monday,3
user_0000,2024-11-14,8,Beginner,muscle_gain,"back,arms,chest","Pull-ups,Rows,Bicep Curl,Dips,Cable Fly,Chest Dips",6,3,10,26,0.93,6,9,Thursday,3
user_0000,2024-11-17,9,Beginner,muscle_gain,"legs,shoulders,chest","Lunges,Leg Press,Arnold Press,Lateral Raise,Cable Fly,Bench Press",6,3,12,32,0.93,8,8,Sunday,3
user_0000,2024-11-20,10,Beginner,muscle_gain,"legs,back,chest","Lunges,Leg Press,Face Pulls,Deadlift",4,3,11,24,1.0,8,10,Wednesday,4
user_0000,2024-11-23,11,Beginner,muscle_gain,"legs,shoulders,back","Leg Curl,Squat,Shrugs,Front Raise",4,3,8,17,0.94,6,7,Saturday,4
user_0000,2024-11-26,12,Beginner,muscle_gain,"legs,chest,shoulders","Leg Curl,Romanian Deadlift,Dumbbell Press,Push-ups,Arnold Press",5,3,11,22,1.0,7,9,Tuesday,4
user_0000,2024-11-29,13,Beginner,muscle_gain,"shoulders,legs,back","Overhead Press,Lateral Raise,Leg Press,Romanian Deadlift,Lat Pulldown,Deadlift",6,3,11,26,0.99,7,7,Friday,5
user_0000,2024-12-02,14,Beginner,muscle_gain,"legs,arms,back","Romanian Deadlift,Squat,Skull Crushers,Dips",4,3,9,26,0.95,8,10,Monday,5
user_0000,2024-12-05,15,Beginner,muscle_gain,"shoulders,chest,arms","Arnold Press,Lateral Raise,Dumbbell Press,Cable Fly,Dips",5,3,8,27,0.8,8,7,Thursday,5
user_0000,2024-12-08,16,Beginner,muscle_gain,"legs,chest,arms","Squat,Lunges,Bench Press,Cable Fly,Bicep Curl",5,3,11,29,0.96,8,9,Sunday,6
user_0000,2024-12-11,17,Beginner,muscle_gain,"shoulders,arms,back","Shrugs,Lateral Raise,Dips,Tricep Extension",4,3,8,23,0.73,7,8,Wednesday,6
user_0000,2024-12-14,18,Beginner,muscle_gain,"arms,legs,chest","Hammer Curl,Dips,Lunges,Romanian Deadlift,Chest Dips",5,3,10,30,0.81,8,9,Saturday,6
user_0000,2024-12-17,19,Beginner,muscle_gain,"shoulders,legs,chest","Lateral Raise,Shrugs,Lunges,Romanian Deadlift,Bench Press,Dumbbell Press",6,3,11,37,0.78,7,7,Tuesday,7
user_0000,2024-12-20,20,Beginner,muscle_gain,"shoulders,chest,arms","Arnold Press,Front Raise,Bench Press,Cable Fly,Bicep Curl,Dips",6,3,8,29,0.86,7,7,Friday,7
user_0000,2024-12-23,21,Beginner,muscle_gain,"chest,shoulders,back","Chest Dips,Cable Fly,Overhead Press,Front Raise,Face Pulls",5,3,10,35,1.0,8,7,Monday,7
user_0000,2024-12-26,22,Beginner,muscle_gain,"arms,chest,shoulders","Hammer Curl,Tricep Extension,Bench Press,Cable Fly,Overhead Press,Arnold Press",6,3,11,30,0.57,8,6,Thursday,8
user_0000,2024-12-29,23,Beginner,muscle_gain,"chest,arms,back","Dumbbell Press,Chest Dips,Hammer Curl,Dips",4,3,12,28,0.95,8,8,Sunday,8
user_0000,2025-01-01,24,Beginner,muscle_gain,"back,arms,chest","Lat Pulldown,Rows,Dips,Tricep Extension,Push-ups,Cable Fly",6,3,10,39,0.61,7,4,Wednesday,8
user_0000,2025-01-04,25,Beginner,muscle_gain,"shoulders,legs,arms","Lateral Raise,Overhead Press,Romanian Deadlift,Leg Press,Skull Crushers,Hammer Curl",6,3,11,33,0.78,7,8,Saturday,9
user_0000,2025-01-07,26,Beginner,muscle_gain,"back,shoulders,arms","Rows,Lat Pulldown,Arnold Press,Front Raise",4,3,10,15,1.0,8,10,Tuesday,9
user_0000,2025-01-10,27,Beginner,muscle_gain,"legs,chest,arms","Squat,Romanian Deadlift,Dumbbell Press,Push-ups,Skull Crushers,Hammer Curl",6,3,9,31,0.86,8,8,Friday,9
user_0000,2025-01-13,28,Beginner,muscle_gain,"back,chest,legs","Pull-ups,Deadlift,Cable Fly,Bench Press,Leg Curl,Leg Press",6,3,9,27,0.69,7,6,Monday,10
user_0000,2025-01-16,29,Beginner,muscle_gain,"shoulders,back,chest","Arnold Press,Front Raise,Face Pulls,Deadlift",4,3,11,24,0.74,8,8,Thursday,10
user_0000,2025-01-19,30,Beginner,muscle_gain,"chest,shoulders,arms","Push-ups,Cable Fly,Arnold Press,Front Raise",4,3,8,23,0.95,8,7,Sunday,10
user_0000,2025-01-22,31,Beginner,muscle_gain,"shoulders,legs,arms","Front Raise,Shrugs,Leg Press,Squat,Tricep Extension,Dips",6,3,8,35,0.74,8,7,Wednesday,11
user_0000,2025-01-25,32,Beginner,muscle_gain,"chest,shoulders,legs","Cable Fly,Bench Press,Lateral Raise,Overhead Press,Squat",5,3,11,23,0.88,6,7,Saturday,11
user_0000,2025-01-28,33,Beginner,muscle_gain,"arms,back,shoulders","Hammer Curl,Dips,Face Pulls,Rows,Shrugs",5,3,11,33,0.86,7,6,Tuesday,11
user_0000,2025-01-31,34,Beginner,muscle_gain,"legs,back,shoulders","Lunges,Leg Press,Pull-ups,Deadlift,Arnold Press",5,3,8,32,0.75,7,7,Friday,12
user_0000,2025-02-03,35,Beginner,muscle_gain,"chest,shoulders,arms","Push-ups,Bench Press,Overhead Press,Front Raise,Tricep Extension,Skull Crushers",6,3,12,31,1.0,6,8,Monday,12
user_0000,2025-02-06,36,Beginner,muscle_gain,"arms,back,chest","Tricep Extension,Bicep Curl,Deadlift,Rows,Push-ups",5,3,9,23,0.95,8,7,Thursday,12
user_0000,2025-02-09,37,Beginner,muscle_gain,"back,chest,arms","Face Pulls,Deadlift,Bench Press,Push-ups",4,3,9,28,0.55,8,4,Sunday,13
user_0000,2025-02-12,38,Beginner,muscle_gain,"chest,shoulders,back","Chest Dips,Bench Press,Shrugs,Lateral Raise,Face Pulls",5,3,12,29,0.88,7,6,Wednesday,13
user_0000,2025-02-15,39,Beginner,muscle_gain,"chest,shoulders,back","Bench Press,Cable Fly,Shrugs,Overhead Press,Pull-ups",5,3,12,24,0.75,6,7,Saturday,13
user_0000,2025-02-18,40,Beginner,muscle_gain,"legs,arms,back","Leg Curl,Leg Press,Dips,Skull Crushers,Pull-ups,Face Pulls",6,3,12,31,0.98,7,10,Tuesday,14
user_0000,2025-02-21,41,Beginner,muscle_gain,"back,shoulders,arms","Lat Pulldown,Face Pulls,Overhead Press,Front Raise,Dips",5,3,10,31,0.73,6,9,Friday,14
user_0000,2025-02-24,42,Beginner,muscle_gain,"chest,arms,shoulders","Cable Fly,Bench Press,Hammer Curl,Tricep Extension",4,3,12,25,0.83,8,6,Monday,14
user_0000,2025-02-27,43,Beginner,muscle_gain,"shoulders,legs,arms","Overhead Press,Front Raise,Leg Curl,Leg Press,Hammer Curl",5,3,12,26,0.93,6,10,Thursday,15
user_0000,2025-03-02,44,Beginner,muscle_gain,"back,chest,arms","Deadlift,Pull-ups,Dumbbell Press,Push-ups,Dips,Bicep Curl",6,3,12,33,0.98,6,8,Sunday,15
user_0000,2025-03-05,45,Beginner,muscle_gain,"legs,arms,back","Squat,Lunges,Tricep Extension,Dips,Pull-ups",5,3,8,22,0.67,8,5,Wednesday,15
user_0000,2025-03-08,46,Beginner,muscle_gain,"shoulders,arms,back","Lateral Raise,Front Raise,Hammer Curl,Skull Crushers,Face Pulls",5,3,8,24,0.8,6,6,Saturday,16
user_0000,2025-03-11,47,Beginner,muscle_gain,"chest,legs,back","Cable Fly,Chest Dips,Leg Curl,Romanian Deadlift,Lat Pulldown,Deadlift",6,3,9,28,0.78,7,9,Tuesday,16
user_0000,2025-03-14,48,Beginner,muscle_gain,"chest,legs,shoulders","Chest Dips,Cable Fly,Leg Curl,Leg Press,Overhead Press,Lateral Raise",6,3,11,26,0.75,6,7,Friday,16
user_0000,2025-03-17,49,Beginner,muscle_gain,"legs,back,chest","Leg Press,Leg Curl,Pull-ups,Face Pulls,Cable Fly",5,3,9,24,1.0,7,8,Monday,17
