user_id,age,gender,height_cm,weight_kg,bmi,bmi_category,fitness_level,primary_goal,equipment,injuries
user_0000,58,male,180.0,72.9,22.52,normal,Beginner,muscle_gain,"Bodyweight,Dumbbell",ankle
user_0001,23,female,168.2,80.3,28.38,overweight,Beginner,weight_loss,"Bodyweight,Dumbbell",none
user_0002,19,male,172.7,71.5,23.98,normal,Intermediate,general_fitness,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0003,55,female,175.6,71.2,23.08,normal,Expert,weight_loss,"Bodyweight,Dumbbell",none
user_0004,39,female,159.2,68.5,27.02,overweight,Beginner,general_fitness,"Bodyweight,Dumbbell,Barbell","lower_back,shoulder"
user_0005,40,female,159.3,56.4,22.23,normal,Expert,general_fitness,"Bodyweight,Dumbbell,Barbell,Machine,Cable","lower_back,shoulder"
user_0006,58,female,164.9,39.0,14.35,underweight,Beginner,strength,Bodyweight,none
user_0007,36,male,157.8,66.6,26.75,overweight,Expert,endurance,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0008,58,female,154.9,65.8,27.41,overweight,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell",none
user_0009,61,male,165.9,53.8,19.55,normal,Intermediate,weight_loss,"Bodyweight,Dumbbell","shoulder,knee"
user_0010,61,female,174.7,59.3,19.42,normal,Intermediate,general_fitness,"Bodyweight,Dumbbell",none
user_0011,38,female,163.5,44.9,16.79,underweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0012,38,male,169.6,76.7,26.67,overweight,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable",knee
user_0013,53,female,153.8,66.5,28.12,overweight,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0014,32,male,169.0,70.6,24.73,normal,Intermediate,weight_loss,Bodyweight,none
user_0015,27,male,169.0,102.8,35.99,obese,Intermediate,weight_loss,Bodyweight,none
user_0016,56,female,162.9,49.3,18.58,normal,Beginner,general_fitness,Bodyweight,none
user_0017,25,female,169.6,47.3,16.47,underweight,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell",none
user_0018,47,male,177.1,45.6,14.54,underweight,Expert,endurance,"Bodyweight,Dumbbell,Barbell",none
user_0019,29,male,161.7,78.0,29.81,overweight,Expert,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0020,27,female,168.9,64.1,22.45,normal,Expert,strength,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0021,56,female,162.1,58.4,22.23,normal,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell",none
user_0022,37,male,160.2,64.2,25.01,overweight,Beginner,endurance,Bodyweight,"lower_back,knee"
user_0023,26,female,159.3,74.7,29.43,overweight,Expert,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0024,45,male,178.4,48.6,15.25,underweight,Expert,strength,"Bodyweight,Dumbbell",none
user_0025,43,female,165.6,57.4,20.93,normal,Intermediate,endurance,Bodyweight,none
user_0026,22,female,157.6,69.3,27.92,overweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0027,22,male,185.3,89.0,25.91,overweight,Beginner,general_fitness,"Bodyweight,Dumbbell,Barbell",shoulder
user_0028,60,female,156.3,58.3,23.86,normal,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0029,33,female,165.7,73.7,26.86,overweight,Expert,weight_loss,Bodyweight,none
user_0030,40,female,159.2,59.8,23.59,normal,Intermediate,general_fitness,Bodyweight,none
user_0031,59,male,163.9,57.1,21.23,normal,Beginner,general_fitness,Bodyweight,ankle
user_0032,46,male,183.1,95.3,28.43,overweight,Intermediate,weight_loss,"Bodyweight,Dumbbell",none
user_0033,22,female,162.4,74.0,28.07,overweight,Expert,endurance,Bodyweight,lower_back
user_0034,33,male,178.6,65.3,20.48,normal,Intermediate,strength,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0035,28,female,165.9,80.5,29.24,overweight,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0036,62,female,162.7,80.8,30.51,obese,Beginner,weight_loss,Bodyweight,none
user_0037,52,male,148.8,87.3,39.44,obese,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0038,51,male,175.9,70.5,22.8,normal,Beginner,endurance,"Bodyweight,Dumbbell",knee
user_0039,43,male,175.9,45.2,14.6,underweight,Expert,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0040,57,male,172.8,80.4,26.91,overweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0041,34,male,189.8,67.2,18.67,normal,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell",none
user_0042,60,female,156.5,56.0,22.85,normal,Beginner,general_fitness,Bodyweight,lower_back
user_0043,52,male,184.2,79.9,23.57,normal,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell",none
user_0044,33,female,158.8,68.2,27.04,overweight,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0045,57,male,176.0,89.5,28.91,overweight,Intermediate,muscle_gain,Bodyweight,none
user_0046,26,female,157.4,58.1,23.44,normal,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0047,36,male,171.1,53.0,18.12,underweight,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell",none
user_0048,34,male,178.0,78.9,24.92,normal,Beginner,strength,"Bodyweight,Dumbbell,Barbell","knee,shoulder"
user_0049,28,female,163.0,59.2,22.26,normal,Intermediate,strength,Bodyweight,ankle
user_0050,20,female,151.7,57.0,24.76,normal,Intermediate,muscle_gain,"Bodyweight,Dumbbell","lower_back,shoulder"
user_0051,31,male,171.6,63.0,21.39,normal,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0052,44,male,173.4,81.1,26.96,overweight,Expert,weight_loss,"Bodyweight,Dumbbell",none
user_0053,29,female,178.1,64.1,20.21,normal,Beginner,general_fitness,"Bodyweight,Dumbbell,Barbell",none
user_0054,44,male,177.6,73.9,23.43,normal,Beginner,general_fitness,Bodyweight,none
user_0055,20,female,147.6,61.7,28.29,overweight,Beginner,endurance,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0056,32,male,175.6,111.9,36.3,obese,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell",none
user_0057,22,female,161.5,65.6,25.17,overweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0058,19,male,174.7,57.5,18.84,normal,Expert,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0059,34,male,186.4,86.3,24.82,normal,Beginner,strength,"Bodyweight,Dumbbell,Barbell",none
user_0060,50,male,182.9,61.4,18.34,underweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell","lower_back,knee"
user_0061,41,female,174.2,45.2,14.88,underweight,Beginner,strength,"Bodyweight,Dumbbell,Barbell",none
user_0062,60,male,180.9,107.9,32.97,obese,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell",none
user_0063,38,female,155.1,55.2,22.96,normal,Intermediate,endurance,"Bodyweight,Dumbbell",none
user_0064,42,male,176.0,67.4,21.78,normal,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0065,37,female,150.6,62.8,27.7,overweight,Beginner,endurance,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0066,47,female,154.5,67.7,28.35,overweight,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0067,28,male,165.8,98.2,35.74,obese,Beginner,strength,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0068,33,female,156.7,58.1,23.67,normal,Intermediate,weight_loss,Bodyweight,"ankle,lower_back"
